Interactome	Fold	Prediction Method	Test Set	P@k
iRefIndex	3	L3	CORUM	0.0258
iRefIndex	4	L3	CORUM	0.0269
iRefIndex	5	L3	CORUM	0.0258
iRefIndex	6	L3	CORUM	0.0246
iRefIndex	7	L3	CORUM	0.0256
iRefIndex	8	L3	CORUM	0.0254
iRefIndex	9	L3	CORUM	0.0249
iRefIndex	10	L3	CORUM	0.0239
MatrixDB	1	L3	CORUM	0.0188
MatrixDB	2	L3	CORUM	0.0171
MatrixDB	3	L3	CORUM	0.0180
MatrixDB	4	L3	CORUM	0.0178
MatrixDB	5	L3	CORUM	0.0176
MatrixDB	6	L3	CORUM	0.0161
MatrixDB	7	L3	CORUM	0.0185
MatrixDB	8	L3	CORUM	0.0173
MatrixDB	9	L3	CORUM	0.0183
MatrixDB	10	L3	CORUM	0.0184
Mentha	1	L3	CORUM	0.0469
Mentha	2	L3	CORUM	0.0465
Mentha	3	L3	CORUM	0.0478
Mentha	4	L3	CORUM	0.0478
Mentha	5	L3	CORUM	0.0473
Mentha	6	L3	CORUM	0.0473
Mentha	7	L3	CORUM	0.0468
Mentha	8	L3	CORUM	0.0471
Mentha	9	L3	CORUM	0.0466
Mentha	10	L3	CORUM	0.0465
MINT	1	L3	CORUM	0.0196
MINT	2	L3	CORUM	0.0180
MINT	3	L3	CORUM	0.0168
MINT	4	L3	CORUM	0.0183
MINT	5	L3	CORUM	0.0169
MINT	6	L3	CORUM	0.0167
MINT	7	L3	CORUM	0.0146
MINT	8	L3	CORUM	0.0165
MINT	9	L3	CORUM	0.0159
MINT	10	L3	CORUM	0.0149
MultiNet	1	L3	CORUM	0.0055
MultiNet	2	L3	CORUM	0.0056
MultiNet	3	L3	CORUM	0.0056
MultiNet	4	L3	CORUM	0.0059
MultiNet	5	L3	CORUM	0.0049
MultiNet	6	L3	CORUM	0.0051
MultiNet	7	L3	CORUM	0.0049
MultiNet	8	L3	CORUM	0.0058
MultiNet	9	L3	CORUM	0.0044
MultiNet	10	L3	CORUM	0.0055
PathwayCommons	1	L3	CORUM	0.0156
PathwayCommons	2	L3	CORUM	0.0138
PathwayCommons	3	L3	CORUM	0.0121
PathwayCommons	4	L3	CORUM	0.0147
PathwayCommons	5	L3	CORUM	0.0124
PathwayCommons	6	L3	CORUM	0.0136
PathwayCommons	7	L3	CORUM	0.0154
PathwayCommons	8	L3	CORUM	0.0113
PathwayCommons	9	L3	CORUM	0.0116
PathwayCommons	10	L3	CORUM	0.0116
Phosphosite	1	L3	CORUM	0.0057
Phosphosite	2	L3	CORUM	0.0062
Phosphosite	3	L3	CORUM	0.0073
Phosphosite	4	L3	CORUM	0.0069
Phosphosite	5	L3	CORUM	0.0060
Phosphosite	6	L3	CORUM	0.0078
Phosphosite	7	L3	CORUM	0.0063
Phosphosite	8	L3	CORUM	0.0054
Phosphosite	9	L3	CORUM	0.0050
Phosphosite	10	L3	CORUM	0.0068
PID2	1	L3	CORUM	0.0097
PID2	2	L3	CORUM	0.0084
PID2	3	L3	CORUM	0.0058
PID2	4	L3	CORUM	0.0113
PID2	5	L3	CORUM	0.0089
PID2	6	L3	CORUM	0.0093
PID2	7	L3	CORUM	0.0098
PID2	8	L3	CORUM	0.0098
PID2	9	L3	CORUM	0.0081
PID2	10	L3	CORUM	0.0093
PIPs	1	L3	CORUM	0.0051
PIPs	2	L3	CORUM	0.0065
PIPs	3	L3	CORUM	0.0062
PIPs	4	L3	CORUM	0.0070
PIPs	5	L3	CORUM	0.0058
PIPs	6	L3	CORUM	0.0065
PIPs	7	L3	CORUM	0.0057
PIPs	8	L3	CORUM	0.0066
PIPs	9	L3	CORUM	0.0058
